[#15][#6:1][#7+] 4 0.04184
[#7H0][#6:1](~[F,O])[#6][F,Cl,Br,I] 4 0.04184
[#7H2,#7H1][#6:1][#6][F,Cl,Br,I] 3 0.03630
[#7][#6H1:1][#6][F,Cl,Br,I] 4 0.04184
[#7][#6:1](=*)[#6][F,Cl,Br,I] 4 0.04184
[cX3H0][nX2][c:1][#6]([cX3H0])[F,Cl,Br,I] 4 0.04184
[cX3H0][nX2][c:1][#6][F,Cl,Br,I] 4 0.04184
[nX3H0][c:1]([#16X4])[#6][F,Cl,Br,I] 4 0.04184
[c][nX3H0][c:1][#6][F,Cl,Br,I] 5 0.04450
[#7][#6:1][#6][F,Cl,Br,I] 4 0.04184
[#16][#6H2:1][#6][F,Cl,Br,I] 4 0.04184
[#16][#6:1]([#6]=O)(F)[#6](F)F 3 0.03630
[#16X4][#6:1](F)[#6](F)F 4 0.04184
[#16][#6:1]([#6]=[!#6&!#1])[#6][F,Cl,Br,I] 4 0.04184
[!#6&!#1][#8][#6:1][#8][!#6&!#1] 5 0.04450
[!#6&!#1][#15][#6H2:1][*][!#6&!#1] 3 0.03630
[!#6&!#1][#16][#6H2:1][#16][!#6&!#1] 4 0.04184
[#7,#8][#16][#6H2:1][#6][!#6&!#1] 3 0.03630
[!#6&!#1][#7][#6:1][#7][!#6&!#1] 3 0.03630
[!#6&!#1][#7H1][#6:1][#8][!#6&!#1] 4 0.04184
[!#6&!#1][#7][#6:1]([#7,#8])[#8][!#6&!#1] 4 0.04184
[!#6&!#1][#7][#6:1][#8][!#6&!#1] 3 0.03630
[!#6&!#1][#7H1][#6:1][#16](=O)[!#6&!#1] 4 0.04184
[!#6&!#1][#7H1][#6:1][#16][!#6&!#1] 5 0.04450
[!#6&!#1][#7][#6:1]([#7])[#16](=O)[!#6&!#1] 3 0.03630
[!#6&!#1][#7][#6:1]([#7,#8])[#16][!#6&!#1] 5 0.04450
[!#6&!#1][#7][#6:1][#16][!#6&!#1] 4 0.04184
[!#6&!#1][#7H1][#6H1:1][#6H2][!#6&!#1] 4 0.04184
[!#6&!#1][#7H1][#6:1][#6H2][!#6&!#1] 2 0.03373
[!#6&!#1][#7H1][#6H0:1]([#6H3,#7,#8])[#6][!#6&!#1] 4 0.04184
