[A&!#1][nX3H0][nX2H0:1][#6]	5	0.04337
[#7X3H0][nX2H0:1][cX3H0][NH2,O]	7	0.05023
[#7X3H0][nX2H0:1][cX3H0][NH0]=*	4	0.04109
[#7X3H0][nX2H0:1][cX3H0]N	7	0.05023
[#7X3H0][nX2H0:1][cX3H0]S	6	0.04788
[N,O,F,Cl,Br,I]c[#7X3H0][nX2H0:1][cX3H0][#6]=*	4	0.04109
[N,O,F,Cl,Br,I]c[#7X3H0][nX2H0:1][cX3H0]	6	0.04788
[#7X3H0][nX2H0:1][cX3]n	7	0.05023
c[nX3H0]([c]1)[nX2H0:1][cX3H0]([c]1)[C]=*	6	0.04788
[#7X3H0][nX2H0:1][#6][#6]=*	6	0.04788
[#7X3H0][nX2H0:1][#6]	4	0.04109
[#7][#7:1][C](=O)O	6	0.04788
[#7][#7:1][C]=C	5	0.04337
[#7][#7:1][C]	6	0.04788
[NH2][#7:1][#6]	3	0.03795
[#7][#7:1]([C])[#6][F,Cl,Br,I]	6	0.04788
[#7](*)[nr5:1][#6][F,Cl,Br,I]	4	0.04109
[#7][#7:1]([#6])[#6][F,Cl,Br,I]	6	0.04788
[n][nR2:1][c][NH2,O]	4	0.04109
[n][nr6:1][c][NH2,O]	4	0.04109
[#16]~[#7][#7:1][#6][NH2,O]	6	0.04788
[#7][#7:1]([!#16])[#6][NH2,O]	6	0.04788
[#7][N:1][#6][NH2,O]	6	0.04788
[c]([N])[n:1]([SH])[n][n]	4	0.04109
[c]([N])[n:1][n][nX3]	5	0.04337
[c]([N])[n:1]([CX3])[n][n]	4	0.04109
[c]([N])[n:1]([C])[n][n]	6	0.04788
[#7][nR:1]([#16])[#6][N]	6	0.04788
[#7]([cr6])[nR:1]([*])[#6][N]	7	0.05023
[#7][nR:1]([CX4H1])[#6][N]	4	0.04109
[#7][nR:1][c][NR]~[*]	3	0.03795
[#7][#7:1](*)[#6]N	7	0.05023
[#7][#7r5R2:1][#6][SX4]	4	0.04109
[n][nr6:1][c][SX4]	6	0.04788
[#7][#7:1][#6][SX4]	4	0.04109
[#7][#7:1][#6]([nX3H0,o,sX3])S	4	0.04109
[#7][#7:1](*)[#6]S	6	0.04788
[#7][#7:1][#6]S	6	0.04788
[#7][#7:1](*)[#6]s	5	0.04337
[#7][#7:1][#6]s	6	0.04788
[#7]1[#7:1][#6][n][#7]1	6	0.04788
[#7]([c][c])[nr5R1:1][#6](a)[nX3H0]	4	0.04109
[n][nr5R1:1][c](a)[nX3H0][!#6&!#7]	4	0.04109
[#7][#7r5R1:1][#6](a)[nX3H0]	6	0.04788
[n]([#6])[#7:1][c]([C])[nX3H0]	4	0.04109
[n]([cH])[#7:1][c][nX3H0]	6	0.04788
[n]([c])[nr5:1][c]([cr])[nX3H0]	6	0.04788
[n]([c])[nr6:1][c]([cr])[nX3H0]	4	0.04109
[n]([#6])[#7:1][c]([cr])[nX3H0]	8	0.05286
[nH:1]	3	0.03795
[#7:1]=[CH1]	4	0.04109
[#7:1]=[CH2]	7	0.05023
[N][#7:1][#6]n	7	0.05023
[#7][#7R2:1][#6]n	7	0.05023
[#7](s)[#7:1][#6][n]	7	0.05023
[#7]([#8])[#7:1][#6][n]	4	0.04109
[cH][n:1][n]~[nX3]	6	0.04788
[n][cH][n:1][n]	4	0.04109
[#7][#7:1]([c])[#6]n	4	0.04109
[c][nr:1][n][c]([n])[!#6][#6]	4	0.04109
[#7][#7:1]([CX3H0])[#6]n	4	0.04109
[#7][#7:1]([CX4H1])[#6]n	4	0.04109
[#7]([C])[#7:1][#6]n	3	0.03795
[#7]([cr5H0])[n:1][#6]n	7	0.05023
[#7]([n])[n:1][#6]n	7	0.05023
[#7][#7:1][#6]n	5	0.04337
[n,NH1][N:1][#6]c	5	0.04337
[c][n][nr6:1][c](=*)c	7	0.05023
[c][n][n:1]([*])[c](=*)c	5	0.04337
[n][nR2:1][c](=*)c	7	0.05023
[n][n:1]([C])[c](=[O])c	5	0.04337
[n][n:1][c](=[C])c	1	0.03053
[c][n:1]([CX4H1,CX4H2])[n]	1	0.03053
[c][n:1]([CH3])[n]	1	0.03053
[c]1[c][c][nX2:1][n]1	2	0.03306
[n]([!#7])[nr5:1]([c])[c]c	2	0.03306
[n]([!#7])[n:1]([CX4])[c]c	1	0.03053
[#7][n]([C,cr6])[n:1]cc	6	0.04788
[#7][n]([cr5])[n:1]cc	7	0.05023
[#7][n][n:1]([ar])cc	6	0.04788
[#7][n][n:1]([!C&A])cc	6	0.04788
[#7][n]([!#6])[n:1]cc	5	0.04337
[#7][n][n:1]cc	4	0.04109
[#8][n][n:1]cc	4	0.04109
[#16][n][n:1]cc	6	0.04788
[n]([*])[nr6:1]([#16])[c]c	4	0.04109
[n]([!#7])[n:1]([CX4])[c]c	1	0.03053
[n]([cr6H1])[nR2:1][cr6H0][c]	4	0.04109
[n]([cr6H1])[n:1][cr6H0][cH1]	4	0.04109
[nr5]([cr5H0])[n:1][cr5H0][cH0]	4	0.04109
[n]([!#7])[n:1][c]c	6	0.04788
[cX3H0]1[nX2H0][nX2H0:1][cH1][c]1	4	0.04109
n1[nH:1]c(A)cc1	6	0.04788
n1([a])-[n:1]c(A)cc1	3	0.03795
n1[n:1]([CX4][CX4H2])c(A)cc1	4	0.04109
n1[n:1]([C]=[C])c(A)cc1	6	0.04788
n1[n:1]([CH2][CH3])c(A)cc1	3	0.03795
n1(*)[n:1]c([c])cc1	4	0.04109
n1[n:1]c([c])c([cX3H2])c1	7	0.05023
n1[n:1]c([C]=*)cc1	4	0.04109
n1[n:1]c([CH3])cc1	5	0.04337
n1([c])[n:1]c([A])cc1	5	0.04337
n1([C])[n:1]c([A])cc1	4	0.04109
n1([#7,#8])[n:1]c([A])cc1	6	0.04788
n1[n:1]([#6])c([A])c(-[#7,#8])c1	6	0.04788
n1[n:1]c([A])c(-[#7,#8])c1	6	0.04788
n1([#6])[n:1]c(A)cc1	4	0.04109
n[nH:1]cc	3	0.03795
n[nR2:1]cc	6	0.04788
n[n:1](-[c])c	6	0.04788
n[n:1](-[CX4])c	4	0.04109
